room_id,hotel_id,room_type,floor_number,max_occupancy,price_per_night,is_active
R00569,H024,Deluxe,13,2,3869.36,Yes
R00570,H024,Deluxe,2,2,4458.02,Yes
R00571,H024,Deluxe,6,2,3914.78,Yes
R00572,H024,Executive,8,3,6311.14,Yes
R00573,H024,Deluxe,7,2,3873.95,Yes
R00574,H024,Standard,5,2,2585.6,Yes
R00575,H024,Deluxe,13,2,4653.36,Yes
R00576,H024,Executive,9,3,5698.68,Yes
R00577,H024,Deluxe,14,2,4161.73,Yes
R00578,H024,Standard,7,2,2833.04,Yes
R00579,H024,Deluxe,5,2,4438.59,Yes
R00580,H024,Deluxe,14,2,4409.91,Yes
R00581,H025,Standard,7,2,3404.91,Yes
R00582,H025,Standard,3,2,3094.32,Yes
R00583,H025,Deluxe,6,2,5120.4,Yes
R00584,H025,Standard,9,2,3647.06,Yes
R00585,H025,Executive,12,3,7770.38,Yes
R00586,H025,Standard,2,2,3491.95,Yes
R00587,H025,Deluxe,11,2,4592.13,Yes
R00588,H025,Standard,4,2,3427.59,Yes
R00589,H025,Deluxe,7,2,5480.22,Yes
R00590,H025,Deluxe,10,2,5386.83,Yes
R00591,H025,Suite,6,4,8821.41,Yes
R00592,H025,Suite,12,4,9423.77,Yes
R00593,H025,Executive,1,3,6651.92,Yes
R00594,H025,Standard,10,2,3547.84,No
R00595,H025,Standard,13,2,3255.35,Yes
R00596,H025,Suite,8,4,9010.37,Yes
R00597,H025,Executive,7,3,6776.6,Yes
R00598,H025,Standard,13,2,3448.46,Yes
R00599,H025,Deluxe,2,2,4825.13,Yes
R00600,H025,Suite,3,4,9451.19,Yes
